Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Order_DateTime,Pickup_DateTime,Order_to_Pickup_Time,Pickup_Delay_Minutes,Distance_KM,Delivery_Speed,Order_Hour,Order_Day,Speed_Anomaly,Time_Anomaly
ialx566343618,37,4.9,22.745049,75.89247,22.765049,75.91247,2022-03-19,11:30:00,11:45:00,Sunny,Heavy,motorcycle,Urban,120,Clothing,2022-03-19 11:30:00,2022-03-19 11:45:00,15.0,15.0,3.1393265702253608,1.5696632851126804,11,Saturday,False,False
akqg208421122,34,4.5,12.913041,77.683235,13.043041,77.81324,2022-03-25,19:45:00,19:50:00,Stormy,Heavy,scooter,Metropolitan,165,Electronics,2022-03-25 19:45:00,2022-03-25 19:50:00,5.0,5.0,20.40749393716316,7.420906886241149,19,Friday,False,False
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Light,motorcycle,Urban,130,Sports,2022-03-19 08:30:00,2022-03-19 08:45:00,15.0,15.0,1.5699626963231403,0.7245981675337572,8,Saturday,False,False
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.0265,2022-04-05,18:00:00,18:10:00,Sunny,Moderate,motorcycle,Metropolitan,105,Cosmetics,2022-04-05 18:00:00,2022-04-05 18:10:00,10.0,10.0,7.849139773912955,4.48522272795026,18,Tuesday,False,False
zguw716275638,32,4.6,12.972793,80.249985,13.012793,80.289986,2022-03-26,13:30:00,13:45:00,Cloudy,Heavy,scooter,Metropolitan,150,Toys,2022-03-26 13:30:00,2022-03-26 13:45:00,15.0,15.0,6.279177081961413,2.511670832784566,13,Saturday,False,False
fxuu788413734,22,4.8,17.431667,78.40832,17.461668,78.438324,2022-03-11,21:20:00,21:30:00,Cloudy,Heavy,motorcycle,Urban,130,Toys,2022-03-11 21:20:00,2022-03-11 21:30:00,10.0,10.0,4.709888088969421,2.1737945026012713,21,Friday,False,False
njmo150975311,33,4.7,23.369745,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Heavy,scooter,Metropolitan,200,Toys,2022-03-04 19:15:00,2022-03-04 19:30:00,15.0,15.0,17.267643408163273,5.180293022448982,19,Friday,False,False
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Moderate,motorcycle,Metropolitan,160,Snacks,2022-03-14 17:25:00,2022-03-14 17:30:00,5.0,5.0,20.406820259053777,7.652557597145165,17,Monday,False,False
uaeb808891380,22,4.8,17.43381,78.38674,17.563808,78.51675,2022-03-20,20:55:00,21:05:00,Stormy,Heavy,motorcycle,Metropolitan,170,Electronics,2022-03-20 20:55:00,2022-03-20 21:05:00,10.0,10.0,20.40741908587027,7.202618500895389,20,Sunday,False,False
bgvc052754213,36,4.2,30.327969,78.046104,30.397968,78.116104,2022-02-12,21:55:00,22:10:00,Fog,Heavy,motorcycle,Metropolitan,230,Toys,2022-02-12 21:55:00,2022-02-12 22:10:00,15.0,15.0,10.988391473845056,2.8665369062204498,21,Saturday,False,False
